filename,link
13472.jpg,http://assets.myntassets.com/v1/images/style/properties/7b1b8cdc234c40b4f157b281309bf70e_images.jpg
37117.jpg,http://assets.myntassets.com/v1/images/style/properties/Wills-Lifestyle-Men-Blue-Striped-Shirt_315c2103dc120cd5cb11ac18a34d3960_images.jpg
32208.jpg,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Women-Orange-Kurta_5ebdcbe260f420dc138ac7ffbe7be71a_images.jpg
7549.jpg,http://assets.myntassets.com/v1/images/style/properties/b76fb9b13394e3f5eb3582194df6b5fc_images.jpg
33964.jpg,http://assets.myntassets.com/v1/images/style/properties/001757a96b49c4b53c8e27386fdc3c89_images.jpg
52356.jpg,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-White-Nightdress_21df10d4bdec037b1e8991f7e94d887f_images.jpg
39725.jpg,http://assets.myntassets.com/v1/images/style/properties/0773340189b209016b3566934dcd5395_images.jpg
36281.jpg,http://assets.myntassets.com/v1/images/style/properties/c5e6223e6bf5e1fd54f684524c15442a_images.jpg
7151.jpg,http://assets.myntassets.com/v1/images/style/properties/23649aa8c80d9c0e7f111d4f51870c22_images.jpg
4081.jpg,http://assets.myntassets.com/v1/images/style/properties/9180f837ca6f0a85c965aab8093363fa_images.jpg
22393.jpg,http://assets.myntassets.com/v1/images/style/properties/bede87d1f39eb0c758332db44c6f4e46_images.jpg
15323.jpg,http://assets.myntassets.com/v1/images/style/properties/7667d772a8b42e47225ff55050fe02f5_images.jpg
59355.jpg,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Turquoise-Blue-Kurta_96b0119ec5be771fdea4673599714533_images.jpg
11770.jpg,http://assets.myntassets.com/v1/images/style/properties/fcb17de2df3cfe3207d9b508cb347f1b_images.jpg
51499.jpg,http://assets.myntassets.com/v1/images/style/properties/689197cf54631e679c2db7ec742a6e09_images.jpg
32459.jpg,http://assets.myntassets.com/v1/images/style/properties/f53e53b773744dc772e103c22c1f6c0a_images.jpg
20229.jpg,http://assets.myntassets.com/v1/images/style/properties/cd983ab79b619015d071533b09d955a5_images.jpg
56416.jpg,http://assets.myntassets.com/v1/images/style/properties/Biara-Women-Rose-Red-Bra_da2f6db14ee3f349456cb6eef3c48b18_images.jpg
9660.jpg,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
51609.jpg,http://assets.myntassets.com/v1/images/style/properties/78a0a41ad395cd3217d2a4cc5c7fc9ff_images.jpg
9677.jpg,http://assets.myntassets.com/v1/images/style/properties/1f6b947766e2e7a28a48457d208f2759_images.jpg
54890.jpg,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Women-Green-Top_6bbf045f4a01ee66ef8b4d993fbc7427_images.jpg
17184.jpg,http://assets.myntassets.com/v1/images/style/properties/7a94a60d2e037a81e5477b3c4df66341_images.jpg
11775.jpg,http://assets.myntassets.com/v1/images/style/properties/b482fb0adf36b18388a5f1198b4588da_images.jpg
27230.jpg,http://assets.myntassets.com/v1/images/style/properties/ce78d3a81a7f74dbb838084fc06c7704_images.jpg
40640.jpg,http://assets.myntassets.com/v1/images/style/properties/4ffbaa46522cfcf862f8a042fd360070_images.jpg
28078.jpg,http://assets.myntassets.com/v1/images/style/properties/5d37c115f6c7907eb66f358a8052683c_images.jpg
50881.jpg,http://assets.myntassets.com/v1/images/style/properties/5255a00f264657e2eaa07e2a9c26ba5e_images.jpg
41586.jpg,http://assets.myntassets.com/v1/images/style/properties/415938bb6b47b8bd3f4de837e8c8b8ab_images.jpg
8748.jpg,http://assets.myntassets.com/v1/images/style/properties/13c635046e4e8b95b9212531166af8a4_images.jpg
14051.jpg,http://assets.myntassets.com/v1/images/style/properties/18264003afeb90591798affd637063af_images.jpg
42261.jpg,http://assets.myntassets.com/v1/images/style/properties/b20dc9a855df011f5bdbca576517a0ce_images.jpg
14626.jpg,http://assets.myntassets.com/v1/images/style/properties/28d62dbd789f6c6fba940bd632556fec_images.jpg
30860.jpg,http://assets.myntassets.com/v1/images/style/properties/eac9b3a8a8cf0b2efe0f4e3a8da22713_images.jpg
44924.jpg,http://assets.myntassets.com/v1/images/style/properties/1e85047e167a6e042302be3a4a6c8da8_images.jpg
28536.jpg,http://assets.myntassets.com/v1/images/style/properties/d4bfab5ce01b40332ef2acd42f490e77_images.jpg
32565.jpg,http://assets.myntassets.com/v1/images/style/properties/027061d1cde925816fe9348dbaa8e7f2_images.jpg
26251.jpg,http://assets.myntassets.com/v1/images/style/properties/Proline-Men-Grey-Track-Pants_e381f72284e4b7de901575154221297d_images.jpg
42394.jpg,http://assets.myntassets.com/v1/images/style/properties/15cd6db8013d71515eadc5a4106dec9a_images.jpg
